key;gender;frequency;probability;yoform
альфия;Ж;74000;0.0009182490445029275;альфия
амалия;Ж;15000;0.00018613156307491774;амалия
анания;Ж;521;6.464969624135476e-06;анания
анастасия;Ж;2000000;0.024817541743322367;анастасия
анатолия;Ж;1000;1.2408770871661182e-05;анатолия
ангела;Ж;4000;4.963508348664473e-05;ангела
ангелина;Ж;270000;0.0033503681353485196;ангелина
андрона;Ж;21;2.605841883048848e-07;андрона
анжелика;Ж;215000;0.0026678857374071545;анжелика
анимаиса;Ж;52;6.452560853263815e-07;анимаиса
аниса;Ж;9000;0.00011167893784495065;аниса
анисия;Ж;2000;2.4817541743322365e-05;анисия
анисья;Ж;2000;2.4817541743322365e-05;анисья
анна;Ж;2000000;0.024817541743322367;анна
антониана;Ж;24;2.978105009198684e-07;антониана
антонида;Ж;7000;8.686139610162828e-05;антонида
антонина;Ж;169000;0.00209708227731074;антонина
антония;Ж;1000;1.2408770871661182e-05;антония
анфея;Ж;48;5.956210018397368e-07;анфея
анфиза;Ж;72;8.934315027596052e-07;анфиза
анфиса;Ж;28000;0.00034744558440651314;анфиса
анфия;Ж;77;9.55475357117911e-07;анфия
анфуса;Ж;17;2.109491048182401e-07;анфуса
аполлинария;Ж;4000;4.963508348664473e-05;аполлинария
аполлония;Ж;420;5.211683766097697e-06;аполлония
апраксия;Ж;9;1.1167893784495065e-07;апраксия
апрель;Ж;5000;6.204385435830592e-05;апрель
апфия;Ж;16;1.9854033394657893e-07;апфия
аргентина;Ж;3000000;0.03722631261498355;аргентина
арефа;Ж;35;4.343069805081414e-07;арефа
ариадна;Ж;7000;8.686139610162828e-05;ариадна
арина;Ж;200000;0.0024817541743322367;арина
ария;Ж;2000;2.4817541743322365e-05;ария
аркадия;Ж;8000;9.927016697328946e-05;аркадия
арсения;Ж;1000;1.2408770871661182e-05;арсения
артема;Ж;72000;0.0008934315027596052;артема
артемида;Ж;1000;1.2408770871661182e-05;артемида
артемия;Ж;883;1.0956944679676825e-05;артемия
архелая;Ж;13;1.6131402133159538e-07;архелая
аскитрея;Ж;1;1.2408770871661183e-08;аскитрея
аскитрия;Ж;1;1.2408770871661183e-08;аскитрия
аста;Ж;1000;1.2408770871661182e-05;аста
астра;Ж;6000;7.44526252299671e-05;астра
афанасия;Ж;312;3.871536511958289e-06;афанасия
афимия;Ж;6;7.44526252299671e-08;афимия
афимья;Ж;1;1.2408770871661183e-08;афимья
афросинья;Ж;35;4.343069805081414e-07;афросинья
аэлита;Ж;9000;0.00011167893784495065;аэлита
беатриса;Ж;1000;1.2408770871661182e-05;беатриса
белла;Ж;27000;0.00033503681353485193;белла
бенедикта;Ж;124;1.5386875880859866e-06;бенедикта
берта;Ж;3000;3.722631261498355e-05;берта
бландина;Ж;40;4.963508348664473e-07;бландина
богдана;Ж;22000;0.00027299295917654603;богдана
божена;Ж;4000;4.963508348664473e-05;божена
болеслава;Ж;110;1.36496479588273e-06;болеслава
борислава;Ж;1000;1.2408770871661182e-05;борислава
бояна;Ж;251;3.114601488786957e-06;бояна
бронислава;Ж;3000;3.722631261498355e-05;бронислава
валенсия;Ж;408000;0.005062778515637763;валенсия
валентина;Ж;1000000;0.012408770871661184;валентина
валерия;Ж;544000;0.006750371354183684;валерия
ванда;Ж;5000;6.204385435830592e-05;ванда
варвара;Ж;70000;0.0008686139610162828;варвара
василида;Ж;20;2.4817541743322367e-07;василида
василина;Ж;26000;0.00032262804266319073;василина
василиса;Ж;75000;0.0009306578153745887;василиса
василия;Ж;2000;2.4817541743322365e-05;василия
васса;Ж;2000;2.4817541743322365e-05;васса
вацлава;Ж;137;1.700001609417582e-06;вацлава
вельмира;Ж;32;3.9708066789315785e-07;вельмира
венедикта;Ж;23;2.854017300482072e-07;венедикта
венера;Ж;79000;0.0009802928988612335;венера
венцеслава;Ж;47;5.832122309680756e-07;венцеслава
вера;Ж;653000;0.008102927379194753;вера
вероника;Ж;406000;0.00503796097389444;вероника
верония;Ж;80;9.927016697328947e-07;верония
веста;Ж;8000;9.927016697328946e-05;веста
видана;Ж;260;3.2262804266319076e-06;видана
викентия;Ж;86;1.0671542949628617e-06;викентия
викторина;Ж;2000;2.4817541743322365e-05;викторина
виктория;Ж;5000000;0.062043854358305915;виктория
вилена;Ж;6000;7.44526252299671e-05;вилена
виленина;Ж;33;4.0948943876481905e-07;виленина
виола;Ж;12000;0.0001489052504599342;виола
виолетта;Ж;104000;0.001290512170652763;виолетта
виргиния;Ж;2000;2.4817541743322365e-05;виргиния
виринея;Ж;623;7.730664253044917e-06;виринея
вита;Ж;59000;0.0007321174814280098;вита
виталина;Ж;24000;0.0002978105009198684;виталина
виталия;Ж;14000;0.00017372279220325657;виталия
витольда;Ж;84;1.0423367532195393e-06;витольда
влада;Ж;101000;0.0012532858580377795;влада
владилена;Ж;2000;2.4817541743322365e-05;владилена
владимира;Ж;7000;8.686139610162828e-05;владимира
владислава;Ж;34000;0.00042189820963648024;владислава
владлена;Ж;13000;0.00016131402133159537;владлена
воля;Ж;15000;0.00018613156307491774;воля
всемила;Ж;32;3.9708066789315785e-07;всемила
гала;Ж;7000;8.686139610162828e-05;гала
галатея;Ж;756;9.381030778975855e-06;галатея
галина;Ж;2000000;0.024817541743322367;галина
галя;Ж;122000;0.0015138700463426644;галя
гая;Ж;6000;7.44526252299671e-05;гая
гаяна;Ж;4000;4.963508348664473e-05;гаяна
гелиана;Ж;72;8.934315027596052e-07;гелиана
гелия;Ж;1000;1.2408770871661182e-05;гелия
геннадия;Ж;604;7.494897606483354e-06;геннадия
геновефа;Ж;24;2.978105009198684e-07;геновефа
генриетта;Ж;3000;3.722631261498355e-05;генриетта
георгина;Ж;563;6.986138000745246e-06;георгина
германа;Ж;3000;3.722631261498355e-05;германа
